Name,School,Description,Level
Acid Splash,Evocationcation,Damage creatures with acid.,0
Chill Touch,Necromancyromancy,Your touch hurts the living or disorients undead.,0
Dancing Lights,Evocationcation,Create four floating lights you can move.,0
Daze,Enchantmenthantment,Damage a creature's mind and possibly stun it.,0
Detect Magic,Divinationination,Sense whether magic is nearby.,0
Electric Arc,Evocationcation,Zap one or two creatures with lightning.,0
Ghost Sound,Illusionusion,Make false sounds.,0
Light,Evocationcation,Make an object glow.,0
Mage Hand,Evocationcation,Command a floating hand to move an object.,0
Message,Illusionusion,Speak a message to a distant creature-- who can reply.,0
Prestidigitation,Evocationcation,Perform a minor magical trick.,0
Produce Flame,Evocationcation,Kindle small flames to attack close or at range.,0
Ray of Frost,Evocationcation,Damage a creature with cold.,0
Read Aura,Divinationination,Detect if an object is magical-- and determine the school of its magic.,0
Shield,Abjurationuration,A shield of magical force blocks attacks and magic missiles.,0
Sigil,Transmutationnsmutation,Leave a magical mark.,0
Tanglefoot,Conjurationjuration,Conjure a vine to entangle a creature.,0
Telekinetic Projectile,Evocationcation,Fling an object at a creature.,0
Acidic Burst,Evocation,You create a shell of acid around yourself that immediately bursts outward.,1
Admonishing Ray,Necromancy,A ray of energy bludgeons your target into submission without causing lasting harm.,1
Agitate,Enchantment,You send the target’s mind and body into overdrive-- forcing it to become restless and hyperactive.,1
Air Bubble,Conjuration,React to create air for a creature to breathe.,1
Alarm,Abjuration,Be alerted if a creature enters a warded area.,1
Animate Dead,Necromancy,Animate an undead creature to fight on your behalf.,1
Animate Rope,Transmutation,Command a rope to move and tie as you wish.,1
Ant Haul,Transmutation,Target can carry more.,1
Anticipate Peril,Divination,You grant the target brief foresight.,1
Befuddle,Enchantment,You sow seeds of confusion in your target’s mind-- causing their actions and thoughts to become clumsy.,1
Burning Hands,Evocation,A small cone of flame rushes from your hands.,1
Charm,Enchantment,A humanoid becomes more friendly to you.,1
Chilling Spray,Evocation,Icy shards fly out from you in a cone.,1
Color Spray,Illusion,Swirling colors dazzle or stun creatures.,1
Command,Enchantment,Bid a creature to approach-- run-- release something-- lie prone-- or stand up.,1
Create Water,Conjuration,Conjure 2 gallons of water.,1
Déjà Vu,Enchantment,Make a creature do the same thing again.,1
Endure,Enchantment,You invigorate the touched creature’s mind and urge it to press on.,1
Exchange Image,Illusion,Trade appearances with the target.,1
Fear,Enchantment,Frighten a creature-- possibly making it flee.,1
Feather Fall,Abjuration,React to slow a creature’s fall.,1
Fleet Step,Transmutation,Make your Speed much faster.,1
Floating Disk,Conjuration,A disk of energy follows you-- carrying objects.,1
Goblin Pox,Necromancy,Infect a creature with goblin pox.,1
Grease,Conjuration,Coat a surface or object in slippery grease.,1
Grim Tendrils,Necromancy,Creatures in a line take negative damage and bleed.,1
