–1,1d4 (2),1d6 (4)
0,1d6 (4),1d10 (6)
1,2d4 (5),2d6 (7)
2,2d6 (7),3d6 (11)
3,2d8 (9),4d6 (14)
4,3d6 (11),5d6 (18)
5,2d10 (12),6d6 (21)
6,4d6 (14),7d6 (25)
7,4d6 (15),8d6 (28)
8,5d6 (17),9d6 (32)
9,5d6 (18),10d6 (35)
10,6d6 (20),11d6 (39)
11,6d6 (21),12d6 (42)
12,5d8 (23),13d6 (46)
13,7d6 (24),14d6 (49)
14,4d12 (26),15d6 (53)
15,6d8 (27),16d6 (56)
16,8d6 (28),17d6 (60)
17,8d6 (29),18d6 (63)
18,9d6 (30),19d6 (67)
19,7d8 (32),20d6 (70)
20,6d10 (33),21d6 (74)
21,10d6 (35),22d6 (77)
22,8d8 (36),23d6 (81)
23,11d6 (38),24d6 (84)
24,11d6 (39),25d6 (88)
