Name,School,Description,Level
Chill Touch,Necromancy,Your touch hurts the living or disorients undead.,0
Daze,Enchantment,Damage a creature's mind and possibly stun it.,0
Detect Magic,Divination,Sense whether magic is nearby.,0
Disrupt Undead,Necromancy,Damage undead with positive energy.,0
Divine Lance,Evocation,Throw divine energy that damages based on your deity's alignment.,0
Forbidding Ward,Abjuration,Protect an ally against one specific enemy.,0
Guidance,Divination,Divine guidance improves one roll.,0
Know Direction,Divination,Find true north.,0
Light,Evocation,Make an object glow.,0
Message,Illusion,Speak a message to a distant creature-- who can reply.,0
Prestidigitation,Evocation,Perform a minor magical trick.,0
Read Aura,Divination,Detect if an object is magical-- and determine the school of its magic.,0
Shield,Abjuration,A shield of magical force blocks attacks and magic missiles.,0
Sigil,Transmutation,Leave a magical mark.,0
Stabilize,Necromancy,Stabilize a dying creature.,0
Summon Instrument,Conjuration,Conjure a musical instrument.,0
Admonishing Ray,Necromancy,A ray of energy bludgeons your target into submission without causing lasting harm.,1
Air Bubble,Conjuration,React to create air for a creature to breathe.,1
Alarm,Abjuration,Be alerted if a creature enters a warded area.,1
Animate Dead,Necromancy,Animate an undead creature to fight on your behalf.,1
Bane,Enchantment,Weaken enemies' attacks in an aura around you.,1
Bless,Enchantment,Strengthen allies' attacks in an aura around you.,1
Command,Enchantment,Bid a creature to approach-- run-- release something-- lie prone-- or stand up.,1
Create Water,Conjuration,Conjure 2 gallons of water.,1
Detect Alignment,Divination,See auras of a chosen alignment.,1
Detect Poison,Divination,Determine whether an object or creature is poisonous or venomous.,1
Disrupting Weapons,Necromancy,Weapons deal positive damage to undead.,1
Fear,Enchantment,Frighten a creature-- possibly making it flee.,1
Harm,Necromancy,Negative energy harms the living or heals the undead-- either a single creature or all in a burst.,1
Heal,Necromancy,Positive energy heals the living or harms the undead-- either a single creature or all in a burst.,1
Lock,Abjuration,Make a lock hard to open.,1
Magic Stone,Necromancy,Make ordinary stones into magical sling bullets that are especially dangerous to undead.,1
Magic Weapon,Transmutation,Make a weapon temporarily magical.,1
Mending,Transmutation,Repair one non-magical item.,1
Pet Cache,Conjuration,Hide a familiar or animal companion in a pocket dimension.,1
Protection,Abjuration,Shield a creature against those of a chosen alignment.,1
Purify Food and Drink,Necromancy,Make beverages and meals safe.,1
Putrefy Food and Drink,Necromancy,You cause otherwise edible food to rot and spoil instantly-- and water and other liquids to become brackish and undrinkable.,1
Ray of Enfeeblement,Necromancy,Sap a creature's strength.,1
Sanctuary,Abjuration,Protect a creature from being attacked.,1
Spirit Link,Necromancy,Continually transfer your health to someone else.,1
Thoughtful Gift,Conjuration,Teleport an item to an ally's grasp.,1
Ventriloquism,Illusion,Throw your voice.,1
Augury,Divination,Predict whether a course of action brings good fortune.,2
Blood Vendetta,Necromancy,Cause a creature that attacks you to start bleeding.,2
Brand the Impenitent,Abjuration,You brand the target with an ethereal copy of your deity’s religious symbol.,2
Calm Emotions,Enchantment,Suppress strong emotions and hostility.,2
Charitable Urge,Enchantment,Make a creature give away an object in its possession.,2
Comprehend Language,Divination,A creature understands one language.,2
Continual Flame,Evocation,A magical flame burns indefinitely.,2
Create Food,Conjuration,Conjure food that can feed multiple creatures.,2
Darkness,Evocation,Suppress all light in an area.,2
Darkvision,Divination,See in the dark.,2
Deafness,Necromancy,Make a creature deaf.,2
Death Knell,Necromancy,Finish off a creature who's near death.,2
Dispel Magic,Abjuration,End a spell or suppress an item's magic.,2
Endure Elements,Abjuration,Protect a creature from severe cold or heat.,2
Enhance Victuals,Transmutation,Improve food or drink and remove poisons.,2
Faerie Fire,Evocation,Colorful light prevents creatures from being concealed or invisible.,2
Final Sacrifice,Evocation,Channel energy to blow up your minion.,2
Gentle Repose,Necromancy,A corpse doesn't decay and can't become undead.,2
Ghoulish Cravings,Necromancy,Infect a creature with ghoul fever.,2
Reaper's Lantern,Necromancy,A ghostly lantern diminishes healing for the living and weakens undead.,2
Remove Fear,Enchantment,Free a creature from its fright.,2
Remove Paralysis,Necromancy,Free a creature from paralysis.,2
Resist Energy,Abjuration,Protect a creature from one type of energy damage.,2
Restoration,Necromancy,Reduce a condition or lessen a toxin.,2
Restore Senses,Necromancy,Remove a blinding or deafening effect.,2
See Invisibility,Divination,See invisible creatures and objects.,2
Shield Other,Necromancy,Absorb half the damage an ally would take.,2
Silence,Illusion,Mute all sound from a creature.,2
Sound Burst,Evocation,Damage and deafen creatures with a powerful din.,2
Spirit Sense,Divination,Find spirits and haunts.,2
Spiritual Weapon,Evocation,Materialize a deific weapon of force that appears and attacks repeatedly.,2
Status,Divination,Keep track of a willing creature's location and well-being.,2
Sudden Blight,Necromancy,Decay living creatures and plants.,2
Undetectable Alignment,Abjuration,Make a creature or object appear neutral to alignment detection.,2
Water Breathing,Transmutation,Allow creatures to breathe underwater.,2
Water Walk,Transmutation,Buoy a creature so it can walk on water.,2
Admonishing Ray,Necromancy,A ray of energy bludgeons your target into submission without causing lasting harm.,2
Animate Dead,Necromancy,Animate an undead creature to fight on your behalf.,2
Detect Alignment,Divination,See auras of a chosen alignment.,2
Detect Poison,Divination,Determine whether an object or creature is poisonous or venomous.,2
Harm,Necromancy,Negative energy harms the living or heals the undead-- either a single creature or all in a burst.,2
Heal,Necromancy,Positive energy heals the living or harms the undead-- either a single creature or all in a burst.,2
Lock,Abjuration,Make a lock hard to open.,2
Mending,Transmutation,Repair one non-magical item.,2
Putrefy Food and Drink,Necromancy,You cause otherwise edible food to rot and spoil instantly-- and water and other liquids to become brackish and undrinkable.,2
Spirit Link,Necromancy,Continually transfer your health to someone else.,2
Ventriloquism,Illusion,Throw your voice.,2
Agonizing Despair,Enchantment,Mentally damage and frighten a creature.,3
Bind Undead,Necromancy,Take control of a mindless undead.,3
Blindness,Necromancy,Strike a target blind.,3
Chilling Darkness,Evocation,Ray of evil darkness deals cold damage-- counteracts light-- and harms celestials.,3
Circle of Protection,Abjuration,A creature emits an aura that protects those within against an alignment.,3
Crisis of Faith,Enchantment,Cause mental damage and possibly make a worshipper unable to cast spells.,3
Dream Message,Enchantment,Send a message that arrives in a dream.,3
Familiar's Face,Divination,Implant your senses in your animal companion or familiar.,3
