Name,School,Description,Level
Allegro,Enchantment,You perform rapidly-- speeding up your ally.,0
Clinging Ice,Conjuration,HFreezing sleet and heavy snowfall collect on the target's feet and legs-- dealing 1d4 cold damage and other effects depending on its Reflex save.,0
Dirge of Doom,Enchantment,Frighten nearby enemies.,0
Discern Secrets,Divination,HYou call upon your patron's power to better uncover secrets.,0
Evil Eye,Enchantment,Your fix your eye on the target-- imposing a malevolent hex.,0
House of Imaginary Walls,Illusion,You mime creating an invisible stretch of wall adjacent to you and within your reach.,0
Inspire Competence,Enchantment,Your encouragement inspires your ally to succeed at a task.,0
Inspire Courage,Enchantment,You inspire your allies with words or tunes of encouragement.,0
Inspire Defense,Enchantment,You inspire your allies to protect themselves more effectively.,0
Nudge Fate,Divination,You read slightly into the future and give fate a tiny push to achieve the result you desire.,0
Shroud of Night,Evocation,Drawing your hand in a sweeping gesture-- you shroud the target in a veil of night.,0
Silver's Refrain,Abjuration,Make weapons silver and impede a devil's teleportation.,0
Song of Marching,Enchantment,HYou maintain a brisk performance that keeps allies on the move.,0
Song of Strength,Enchantment,You bolster your allies' physical strength with a hearty exhortation.,0
Spirit Object,Necromancy,Using a sliver of Baba Yaga's power-- you briefly bring an object to life.,0
Stoke the Heart,Enchantment,HIntense fervor fills the target creature-- empowering their blows.,0
Triple Time,Enchantment,You dance at a lively tempo-- speeding your allies’ movement.,0
Wilding Word,Enchantment,With a few words-- you convince a wild creature you are a kindred spirit-- making it reluctant to harm you.,0
Adapt Self,Transmutation,You make subtle changes to yourself to adapt to the situation.,1
Agile Feet,Transmutation,The blessings of your god make your feet faster and your movements more fluid.,1
Ancestral Memories,Divination,HThe memories of long-dead spellcasters grant you knowledge in a specific skill.,1
Ancestral Touch,Enchantment,HYou touch a creature and force them to see and feel the ancestors surrounding you.,1
Angelic Halo,Abjuration,HYou gain an angelic halo with an aura that increases allies’ healing from the heal spell.,1
Appearance of Wealth,Illusion,You create a brief vision of immense wealth filling the spell’s area.,1
Athletic Rush,Transmutation,Your body fills with physical power and skill.,1
Augment Summoning,Conjuration,You augment the abilities of a summoned creature.,1
Bit of Luck,Divination,You tilt the scales of luck slightly to protect a creature from disaster.,1
Blind Ambition,Enchantment,You strengthen a target’s ambition-- increase its resentment of allies-- and make its allegiances more susceptible to change.,1
Blood Ward,Abjuration,HYou consolidate warding energies with a gesture-- guarding a creature against attacks from a certain type of foe.,1
Brain Drain,Enchantment,HYou probe the target's mind to glean knowledge.,1
Cackle,Enchantment,With a quick burst of laughter-- you prolong a magical effect you created.,1
Call of the Grave,Necromancy,You fire a ray of sickening energy.,1
Call to Arms,Enchantment,HYou cry out a call to arms-- inspiring your allies to enter the fray.,1
Charged Javelin,Evocation,You fire a javelin of electricity that leaves a charged field around its target.,1
Charming Touch,Enchantment,HYou infuse your target with attraction-- causing it to act friendlier toward you.,1
Charming Words,Enchantment,You whisper enchanting words to deflect your foe’s ire.,1
Cloak of Shadow,Evocation,You drape the target in a mantle of swirling shadows that make it harder to see.,1
Counter Performance,Enchantment,Use Performance to counter a visual or auditory effect.,1
Cry of Destruction,Evocation,HYour voice booms-- smashing what’s in front of you.,1
Dazzling Flash,Evocation,HYou raise your religious symbol and create a blinding flash of light.,1
Death's Call,Necromancy,Seeing another pass from this world to the next invigorates you.,1
Delay Consequence,Abjuration,You transpose the moment that the target would be injured to later in its timestream.,1
Diabolic Edict,Enchantment,You issue a diabolic edict-- demanding the target perform a particular task and offering rewards for its fulfillment.,1
Dim the Light,Evocation,You magnify the darkness from the triggering effect-- causing the ambient light level to flicker briefly so you can slip from sight.,1
Divine Plagues,Necromancy,Your deity sends wracking plagues.,1
Diviner's Sight,Divination,You glimpse into the target’s future.,1
Draconic Barrage,Evocation,You shape energy into one incorporeal tiny dragon that flits around you.,1
Dragon Claws,Transmutation,HVicious claws grow from your fingers.,1
Eject Soul,Necromancy,Your touch disrupts the connection between body and soul-- possibly forcing the soul out of the body altogether.,1
Elemental Betrayal,Evocation,HYou call upon the elements to undermine your foe.,1
