Name,Level,Price,Rarity,Traits,Category,Subcategory,Bulk
Holly and Mistletoe,0,—,Common,—,Adventuring Gear,—,—
Bedroll,0,1 cp,Common,—,Adventuring Gear,—,L
Candle,0,1 cp,Common,—,Adventuring Gear,—,—
Chalk,0,1 cp,Common,—,Adventuring Gear,—,—
Mug,0,1 cp,Common,—,Adventuring Gear,—,—
Oil,0,1 cp,Common,—,Adventuring Gear,—,—
Piton,0,1 cp,Common,—,Adventuring Gear,—,—
Sack,0,1 cp,Common,—,Adventuring Gear,—,L
Sheath,0,1 cp,Common,—,Adventuring Gear,—,—
Ten-Foot Pole,0,1 cp,Common,—,Adventuring Gear,—,1
Torch,0,1 cp,Common,—,Adventuring Gear,—,L
Soap,0,2 cp,Common,—,Adventuring Gear,—,—
Ladder,0,3 cp,Common,—,Adventuring Gear,—,3
Belt Pouch,0,4 cp,Common,—,Adventuring Gear,—,—
Flint and Steel,0,5 cp,Common,—,Adventuring Gear,—,—
Vial,0,5 cp,Common,—,Adventuring Gear,—,—
Waterskin,0,5 cp,Common,—,Adventuring Gear,—,L
Signal Whistle,0,8 cp,Common,—,Adventuring Gear,—,—
Backpack,0,1 sp,Common,—,Adventuring Gear,—,—
Bandolier,0,1 sp,Common,—,Adventuring Gear,—,—
Basic Crafter's Book,0,1 sp,Common,—,Adventuring Gear,—,L
Clothing (Explorer's),0,1 sp,Common,—,Adventuring Gear,—,L
Clothing (Ordinary),0,1 sp,Common,—,Adventuring Gear,—,—
Disguise Kit (Replacement Cosmetics),0,1 sp,Common,—,Adventuring Gear,—,L
Grappling Hook,0,1 sp,Common,—,Adventuring Gear,—,L
Hammer,0,1 sp,Common,—,Adventuring Gear,—,L
Religious Symbol (Wooden),0,1 sp,Common,—,Adventuring Gear,—,L
Satchel,0,1 sp,Common,—,Adventuring Gear,—,—
Scroll Case,0,1 sp,Common,—,Adventuring Gear,—,—
Writing Set (Extra Ink and Paper),0,1 sp,Common,—,Adventuring Gear,—,L
Lock (Poor),0,2 sp,Common,—,Adventuring Gear,—,—
Merchant's Scale,0,2 sp,Common,—,Adventuring Gear,—,L
Saddlebags,0,2 sp,Common,—,Adventuring Gear,—,—
Caltrops,0,3 sp,Common,—,Adventuring Gear,—,L
Manacles (Poor),0,3 sp,Common,—,Adventuring Gear,—,—
Thieves' Tools (Replacement Picks),0,3 sp,Common,—,Adventuring Gear,—,L
Clothing (Winter),0,4 sp,Common,—,Adventuring Gear,—,L
Rations,0,4 sp,Common,—,Adventuring Gear,—,L
Tool (Short),0,4 sp,Common,—,Adventuring Gear,—,L
Climbing Kit,0,5 sp,Common,—,Adventuring Gear,—,1
Crowbar,0,5 sp,Common,—,Adventuring Gear,—,L
Dueling Cape,0,5 sp,Common,—,Adventuring Gear,—,L
Material Component Pouch,0,5 sp,Common,—,Adventuring Gear,—,L
Parrying Scabbard,0,5 sp,Common,—,Adventuring Gear,—,L
Rope,0,5 sp,Common,—,Adventuring Gear,—,L
Chest,0,6 sp,Common,—,Adventuring Gear,—,2
Adventurer's Pack,0,7 sp,Common,—,Adventuring Gear,—,1
Lantern (Hooded),0,7 sp,Common,—,Adventuring Gear,—,L
Fishing Tackle,0,8 sp,Common,—,Adventuring Gear,—,1
Musical Instrument (Handheld),0,8 sp,Common,—,Adventuring Gear,—,1
Tent (Pup),0,8 sp,Common,—,Adventuring Gear,—,L
Brass Ear,0,1 gp,Common,—,Adventuring Gear,—,—
Compass,0,1 gp,Common,—,Adventuring Gear,—,L
Cookware,0,1 gp,Common,—,Adventuring Gear,—,2
Formula Book (Blank),0,1 gp,Common,—,Adventuring Gear,—,L
Lantern (Bull's-Eye),0,1 gp,Common,—,Adventuring Gear,—,1
Mirror,0,1 gp,Common,—,Adventuring Gear,—,—
Net,0,1 gp,Common,—,Adventuring Gear,—,1
Religious Text,0,1 gp,Common,—,Adventuring Gear,—,L
Spellbook (Blank),0,1 gp,Common,—,Adventuring Gear,—,L
Tool (Long),0,1 gp,Common,—,Adventuring Gear,—,1
Writing Set,0,1 gp,Common,—,Adventuring Gear,—,L
Armored Skirt,0,2 gp,Common,—,Adventuring Gear,—,1
Clothing (Fine),0,2 gp,Common,—,Adventuring Gear,—,L
Disguise Kit,0,2 gp,Common,—,Adventuring Gear,—,L
Jellyfish Lamp,0,2 gp,Common,—,Adventuring Gear,—,L
Musical Instrument (Heavy),0,2 gp,Common,—,Adventuring Gear,—,16
Religious Symbol (Silver),0,2 gp,Common,—,Adventuring Gear,—,L
Repair Kit,0,2 gp,Common,—,Adventuring Gear,—,1
Alchemist's Tools,0,3 gp,Common,—,Adventuring Gear,—,1
Cart,0,3 gp,Common,—,Vehicles,—,L
Hourglass,0,3 gp,Common,—,Adventuring Gear,—,L
Thieves' Tools,0,3 gp,Common,—,Adventuring Gear,—,L
Artisan's Tools,0,4 gp,Common,—,Adventuring Gear,—,2
Chain,0,4 gp,Common,—,Adventuring Gear,—,1
Tack,0,4 gp,Common,—,Adventuring Gear,—,1
Alchemist's Lab,0,5 gp,Common,—,Adventuring Gear,—,6
Healer's Tools,0,5 gp,Common,—,Adventuring Gear,—,1
Snare Kit,0,5 gp,Common,—,Adventuring Gear,—,2
Swim Fins,0,5 gp,Common,—,Adventuring Gear,—,L
Tent (Four-Person),0,5 gp,Common,—,Adventuring Gear,—,1
Cold Iron Chunk,0,10 gp,Common,Precious,Materials,—,L
Light Chariot,0,10 gp,Common,—,Vehicles,—,L
Silver Chunk,0,10 gp,Common,Precious,Materials,—,L
Glider,0,15 gp,Uncommon,—,Vehicles,—,L
Rowboat,0,15 gp,Common,—,Vehicles,—,L
Spyglass,0,20 gp,Common,—,Adventuring Gear,—,L
Magnifying Glass,0,40 gp,Common,—,Adventuring Gear,—,—
Cold Iron Ingot,0,100 gp,Common,Precious,Materials,—,1
Silver Ingot,0,100 gp,Common,Precious,Materials,—,1
Adamantine Chunk,0,500 gp,Uncommon,Precious,Materials,—,L
Darkwood Branch,0,500 gp,Uncommon,Precious,Materials,—,L
Mithral Chunk,0,500 gp,Uncommon,Precious,Materials,—,L
Sovereign Steel Chunk,0,700 gp,Rare,Precious,Materials,—,L
Orichalcum Chunk,0,1000 gp,Rare,Precious,Materials,—,L
Adamantine Ingot,0,5000 gp,Uncommon,Precious,Materials,—,1
Darkwood Lumber,0,5000 gp,Uncommon,Precious,Materials,—,1
Mithral Ingot,0,5000 gp,Uncommon,Precious,Materials,—,1
Sovereign Steel Ingot,0,7000 gp,Rare,Precious,Materials,—,L
Orichalcum Ingot,0,10000 gp,Rare,Precious,Materials,—,1
Unarmored,0,—,Common,—,Armor,Base Armor,—
Explorer's Clothing,0,1 sp,Common,Comfort,Armor,Base Armor,L
Padded Armor,0,2 sp,Common,Comfort,Armor,Base Armor,L
Hide Armor,0,2 gp,Common,—,Armor,Base Armor,2
Leather Armor,0,2 gp,Common,—,Armor,Base Armor,1
Studded Leather Armor,0,3 gp,Common,—,Armor,Base Armor,1
Scale Mail,0,4 gp,Common,—,Armor,Base Armor,2
Chain Shirt,0,5 gp,Common,Flexible Noisy,Armor,Base Armor,1
Chain Mail,0,6 gp,Common,Flexible Noisy,Armor,Base Armor,2
Breastplate,0,8 gp,Common,—,Armor,Base Armor,2
Buckler,0,1 gp,Common,—,Shields,Base Shields,L
Wooden Shield,0,1 gp,Common,—,Shields,Base Shields,1
Steel Shield,0,2 gp,Common,—,Shields,Base Shields,1
Tower Shield,0,10 gp,Common,—,Shields,Base Shields,4
Alchemical Bomb,0,—,Common,—,Weapons,Base Weapons,L
Fist,0,—,Common,Agile Finesse Nonlethal Unarmed,Weapons,Base Weapons,—
Shield Bash,0,—,Common,—,Weapons,Base Weapons,—
Club,0,—,Common,Thrown,Weapons,Base Weapons,1
Exquisite Sword Cane Sheath,0,—,Common,Agile Finesse Parry Twin,Weapons,Base Weapons,L
Sling,0,—,Common,Propulsive,Weapons,Base Weapons,L
Staff,0,—,Common,Two-Hand,Weapons,Base Weapons,1
Dart,0,1 cp,Common,Agile Thrown,Weapons,Base Weapons,L
Shuriken,0,1 cp,Uncommon,Agile Monk Thrown,Weapons,Base Weapons,—
Sling Bullets,0,1 cp,Common,—,Weapons,Base Weapons,L
Blowgun Darts,0,5 cp,Common,—,Weapons,Base Weapons,L
Arrows,0,1 sp,Common,—,Weapons,Base Weapons,L
Blowgun,0,1 sp,Common,Agile Nonlethal,Weapons,Base Weapons,L
Bolts,0,1 sp,Common,—,Weapons,Base Weapons,L
Dogslicer,0,1 sp,Uncommon,Agile Backstabber Finesse Goblin,Weapons,Base Weapons,L
Javelin,0,1 sp,Common,Thrown,Weapons,Base Weapons,L
Juggling Club,0,1 sp,Uncommon,Agile Nonlethal Thrown,Weapons,Base Weapons,L
Monkey's Fist,0,1 sp,Common,Finesse Monk Nonlethal,Weapons,Base Weapons,—
Sap,0,1 sp,Common,Agile Nonlethal,Weapons,Base Weapons,L
Scourge,0,1 sp,Common,Agile Disarm Finesse Nonlethal Sweep,Weapons,Base Weapons,1
Spear,0,1 sp,Common,Thrown,Weapons,Base Weapons,1
Whip,0,1 sp,Common,Disarm Finesse Nonlethal Reach Trip,Weapons,Base Weapons,1
Bo Staff,0,2 sp,Common,Monk Parry Reach Trip,Weapons,Base Weapons,2
Dagger,0,2 sp,Common,Agile Finesse Thrown Versatile,Weapons,Base Weapons,L
Gauntlet,0,2 sp,Common,Agile Free-Hand,Weapons,Base Weapons,L
Nunchaku,0,2 sp,Uncommon,Backswing Disarm Finesse Monk,Weapons,Base Weapons,L
Poi,0,2 sp,Uncommon,Agile Backswing Finesse Nonlethal,Weapons,Base Weapons,L
Sickle,0,2 sp,Common,Agile Finesse Trip,Weapons,Base Weapons,L
Tekko-kagi,0,2 sp,Uncommon,Agile Disarm Finesse Parry Trip,Weapons,Base Weapons,L
Katar,0,3 sp,Uncommon,Agile Deadly Monk,Weapons,Base Weapons,L
Light Hammer,0,3 sp,Common,Agile Thrown,Weapons,Base Weapons,L
Spiked Gauntlet,0,3 sp,Common,Agile Free-Hand,Weapons,Base Weapons,L
Throwing Knife,0,3 sp,Uncommon,Agile Finesse Thrown Twin,Weapons,Base Weapons,L
War Razor,0,3 sp,Common,Agile Backstabber Deadly Finesse,Weapons,Base Weapons,L
Hatchet,0,4 sp,Common,Agile Sweep Thrown,Weapons,Base Weapons,L
