Name,School,Description,Level
Chill Touch,Necromancy,Your touch hurts the living or disorients undead.,0
Dancing Lights,Evocation,Create four floating lights you can move.,0
Daze,Enchantment,Damage a creature's mind and possibly stun it.,0
Detect Magic,Divination,Sense whether magic is nearby.,0
Forbidding Ward,Abjuration,Protect an ally against one specific enemy.,0
Ghost Sound,Illusion,Make false sounds.,0
Guidance,Divination,Divine guidance improves one roll.,0
Join Pasts,Divination,Share thoughts and experiences with allies.,0
Know Direction,Divination,Find true north.,0
Light,Evocation,Make an object glow.,0
Mage Hand,Evocation,Command a floating hand to move an object.,0
Message,Illusion,Speak a message to a distant creature-- who can reply.,0
Prestidigitation,Evocation,Perform a minor magical trick.,0
Read Aura,Divination,Detect if an object is magical-- and determine the school of its magic.,0
Shield,Abjuration,A shield of magical force blocks attacks and magic missiles.,0
Sigil,Transmutation,Leave a magical mark.,0
Summon Instrument,Conjuration,Conjure a musical instrument.,0
Telekinetic Projectile,Evocation,Fling an object at a creature.,0
Agitate,Enchantment,You send the target’s mind and body into overdrive-- forcing it to become restless and hyperactive.,1
Alarm,Abjuration,Be alerted if a creature enters a warded area.,1
Animate Dead,Necromancy,Animate an undead creature to fight on your behalf.,1
Animate Rope,Transmutation,Command a rope to move and tie as you wish.,1
Anticipate Peril,Divination,You grant the target brief foresight.,1
Bane,Enchantment,Weaken enemies' attacks in an aura around you.,1
Bless,Enchantment,Strengthen allies' attacks in an aura around you.,1
Charm,Enchantment,A humanoid becomes more friendly to you.,1
Color Spray,Illusion,Swirling colors dazzle or stun creatures.,1
Command,Enchantment,Bid a creature to approach-- run-- release something-- lie prone-- or stand up.,1
Déjà Vu,Enchantment,Make a creature do the same thing again.,1
Detect Alignment,Divination,See auras of a chosen alignment.,1
Endure,Enchantment,You invigorate the touched creature’s mind and urge it to press on.,1
Exchange Image,Illusion,STrade appearances with the target.,1
Fear,Enchantment,Frighten a creature-- possibly making it flee.,1
Floating Disk,Conjuration,A disk of energy follows you-- carrying objects.,1
Grim Tendrils,Necromancy,Creatures in a line take negative damage and bleed.,1
Ill Omen,Divination,Curse a creature with misfortune.,1
Illusory Disguise,Illusion,Make yourself look like a different creature.,1
Illusory Object,Illusion,Form a convincing illusion of an object.,1
Imprint Message,Divination,Put a false psychic imprint on an object.,1
Invisible Item,Illusion,Make an item disappear from view.,1
Item Facade,Illusion,Disguise an item to look perfect or shoddy.,1
Liberating Command,Enchantment,You call out a liberating cry-- urging an ally to break free of an effect that holds them in place.,1
Lock,Abjuration,Make a lock hard to open.,1
Mage Armor,Abjuration,Ward yourself with magical armor.,1
Magic Aura,Illusion,Change how an item's magic appears to detecting spells.,1
Magic Missile,Evocation,Pelt creatures with unerring bolts of magical force.,1
Magic Weapon,Transmutation,Make a weapon temporarily magical.,1
Mending,Transmutation,Repair one non-magical item.,1
Message Rune,Divination,You record a message up to 5 minutes long and inscribe a special rune on any flat unattended surface within reach.,1
Mindlink,Divination,Mentally impart 10 minutes' worth of information in an instant.,1
Object Reading,Divination,Get psychic impressions from an object.,1
Penumbral Shroud,Evocation,You envelop the target in a shroud of shadow.,1
Pet Cache,Conjuration,Hide a familiar or animal companion in a pocket dimension.,1
