Name,School,Description,Level
Acid Splash,Evocation,Damage creatures with acid.,0
Dancing Lights,Evocation,Create four floating lights you can move.,0
Detect Magic,Divination,Sense whether magic is nearby.,0
Disrupt Undead,Necromancy,Damage undead with positive energy.,0
Electric Arc,Evocation,Zap one or two creatures with lightning.,0
Guidance,Divination,Divine guidance improves one roll.,0
Know Direction,Divination,Find true north.,0
Light,Evocation,Make an object glow.,0
Prestidigitation,Evocation,Perform a minor magical trick.,0
Produce Flame,Evocation,Kindle small flames to attack close or at range.,0
Ray of Frost,Evocation,Damage a creature with cold.,0
Read Aura,Divination,Detect if an object is magical-- and determine the school of its magic.,0
Sigil,Transmutation,Leave a magical mark.,0
Stabilize,Necromancy,Stabilize a dying creature.,0
Tanglefoot,Conjuration,Conjure a vine to entangle a creature.,0
Acidic Burst,Evocation,You create a shell of acid around yourself that immediately bursts outward.,1
Air Bubble,Conjuration,React to create air for a creature to breathe.,1
Alarm,Abjuration,Be alerted if a creature enters a warded area.,1
Ant Haul,Transmutation,Target can carry more.,1
Burning Hands,Evocation,A small cone of flame rushes from your hands.,1
Charm,Enchantment,A humanoid becomes more friendly to you.,1
Chilling Spray,Evocation,Icy shards fly out from you in a cone.,1
Create Water,Conjuration,Conjure 2 gallons of water.,1
Detect Poison,Divination,Determine whether an object or creature is poisonous or venomous.,1
Fear,Enchantment,Frighten a creature-- possibly making it flee.,1
Feather Fall,Abjuration,React to slow a creature’s fall.,1
Fleet Step,Transmutation,Make your Speed much faster.,1
Goblin Pox,Necromancy,Infect a creature with goblin pox.,1
Grease,Conjuration,Coat a surface or object in slippery grease.,1
Gust of Wind,Evocation,Wind blows out fires and knocks back objects and creatures.,1
Heal,Necromancy,Positive energy heals the living or harms the undead-- either a single creature or all in a burst.,1
Hydraulic Push,Evocation,Damage and push a creature with a blast of water.,1
Jump,Transmutation,Make an impressive leap.,1
Longstrider,Transmutation,Increase your Speed for an hour.,1
Magic Fang,Transmutation,Make a creature's unarmed attacks magical temporarily.,1
Magic Stone,Necromancy,Make ordinary stones into magical sling bullets that are especially dangerous to undead.,1
Mending,Transmutation,Repair one non-magical item.,1
Negate Aroma,Abjuration,Suppress a creature’s scent.,1
Noxious Vapors,Evocation,Form a toxic cloud that poisons and sickens.,1
Pass Without Trace,Abjuration,Make your tracks hard to find.,1
Personal Rain Cloud,Evocation,You conjure a 5-foot-wide rain cloud that follows the target wherever it goes.,1
Pest Form,Transmutation,Turn into a nonthreatening animal.,1
Pet Cache,Conjuration,Hide a familiar or animal companion in a pocket dimension.,1
Pummeling Rubble,Evocation,Hurl a cone of rocks to batter creatures.,1
Purify Food and Drink,Necromancy,Make beverages and meals safe.,1
Putrefy Food and Drink,Necromancy,HS You cause otherwise edible food to rot and spoil instantly-- and water and other liquids to become brackish and undrinkable.,1
Scouring Sand,Evocation,You blast the area with grit that scours away soil and gets into creatures’ eyes.,1
Shattering Gem,Abjuration,A large gem floats around the target in an erratic pattern.,1
Shillelagh,Transmutation,Make a club or staff temporarily magical-- and deal more damage to unnatural creatures.,1
Shocking Grasp,Evocation,Zap a creature with electricity.,1
Shockwave,Evocation,You create a wave of energy that ripples through the earth.,1
Snowball,Evocation,You throw a magically propelled and chilled ball of dense snow.,1
Spider Sting,Necromancy,Damage a creature and afflict it with spider venom.,1
Summon Animal,Conjuration,Conjure an animal to fight on your behalf.,1
Summon Fey,Conjuration,Conjure a fey to fight on your behalf.,1
Summon Plant or Fungus,Conjuration,Conjure a plant or fungus to fight on your behalf.,1
Tether,Abjuration,You use magical chains-- vines-- or other tethers to bind your target to you.,1
Ventriloquism,Illusion,Throw your voice.,1
Verdant Sprout,Conjuration,You imbue a single ordinary-- inexpensive plant seed with primal energy and throw it onto a surface-- where it gradually sprouts into a Medium plant.,1
Acid Arrow,Evocation,Magical arrow deals acid damage persistently.,2
Animal Form,Transmutation,Turn into a dangerous animal.,2
Animal Messenger,Enchantment,Send a Tiny animal to deliver a message.,2
Barkskin,Abjuration,Target's skin is covered in protective bark.,2
Breath of Drought,Evocation,You fill the area with an oppressive-- arid swelter that overwhelms creatures with heat exhaustion.,2
Continual Flame,Evocation,A magical flame burns indefinitely.,2
Create Food,Conjuration,Conjure food that can feed multiple creatures.,2
Darkness,Evocation,Suppress all light in an area.,2
Darkvision,Divination,See in the dark.,2
Deafness,Necromancy,Make a creature deaf.,2
Dismantle,Transmutation,Temporarily disassemble an object into its components.,2
Dispel Magic,Abjuration,End a spell or suppress an item's magic.,2
Endure Elements,Abjuration,Protect a creature from severe cold or heat.,2
Enhance Victuals,Transmutation,Improve food or drink and remove poisons.,2
Enlarge,Transmutation,A creature grows in size.,2
Entangle,Transmutation,Plants in an area grow to entangle and immobilize.,2
Expeditious Excavation,Transmutation,You remove loose dirt-- dust-- gravel-- sand-- and the like from the area.,2
Faerie Fire,Evocation,Colorful light prevents creatures from being concealed or invisible.,2
Feast of Ashes,Necromancy,You curse the target with a hunger no food can sate.,2
Final Sacrifice,Evocation,Channel energy to blow up your minion.,2
Flaming Sphere,Evocation,A ball of fire rolls about at your command.,2
Fungal Hyphae,Necromancy,Thin hyphae grow from your feet and plunge into the earth.,2
Fungal Infestation,Conjuration,Plant poisonous fungal growths in a creature.,2
Gentle Repose,Necromancy,A corpse doesn't decay and can't become undead.,2
Glitterdust,Evocation,Sparkling dust breaks invisibility and impedes vision.,2
Heat Metal,Evocation,Make metal red hot.,2
Humanoid Form,Transmutation,Take the shape of a humanoid.,2
Iron Gut,Transmutation,Your mouth-- esophagus-- and stomach become incredibly elastic and tougher than metal.,2
Obscuring Mist,Conjuration,Conceal creatures in a cloud of mist.,2
Phantom Steed,Conjuration,Conjure a magical horse.,2
Quench,Abjuration,Put out fires and hurt fire creatures.,2
Reaper's Lantern,Necromancy,A ghostly lantern diminishes healing for the living and weakens undead.,2
Remove Fear,Enchantment,Free a creature from its fright.,2
Remove Paralysis,Necromancy,Free a creature from paralysis.,2
Resist Energy,Abjuration,Protect a creature from one type of energy damage.,2
Restoration,Necromancy,Reduce a condition or lessen a toxin.,2
Restore Senses,Necromancy,Remove a blinding or deafening effect.,2
Rime Slick,Evocation,You call down a chill wind.,2
Sea Surge,Evocation,You slap or stomp on a nearby solid or liquid surface-- sending a surge of water rushing away from you.,2
Shape Wood,Transmutation,Reshape unworked wood as you choose.,2
Shatter,Evocation,Shatter an object with a high-frequency sonic attack.,2
Shrink,Transmutation,Reduce a willing creature to Tiny size.,2
Slough Skin,Necromancy,You continually and harmlessly slough off the top layer of your skin while new skin regenerates immediately.,2
Speak with Animals,Divination,Communicate with animals.,2
Spider Climb,Transmutation,Give a creature a climb Speed.,2
Status,Divination,Keep track of a willing creature's location and well-being.,2
Sudden Blight,Necromancy,Decay living creatures and plants.,2
Sudden Bolt,Evocation,You call down a small bolt of lightning on the target,2
Summon Elemental,Conjuration,Conjure an elemental to fight on your behalf.,2
Tree Shape,Transmutation,Turn into a tree.,2
Vomit Swarm,Evocation,Vermin erupt in a cone from your mouth-- biting and stinging creatures.,2
Water Breathing,Transmutation,Allow creatures to breathe underwater.,2
Water Walk,Transmutation,Buoy a creature so it can walk on water.,2
Web,Conjuration,Form a web that keeps creatures from moving.,2
Acidic Burst,Evocation,You create a shell of acid around yourself that immediately bursts outward.,2
Burning Hands,Evocation,A small cone of flame rushes from your hands.,2
Chilling Spray,Evocation,Icy shards fly out from you in a cone.,2
Detect Poison,Divination,Determine whether an object or creature is poisonous or venomous.,2
Heal,Necromancy,Positive energy heals the living or harms the undead-- either a single creature or all in a burst.,2
Hydraulic Push,Evocation,Damage and push a creature with a blast of water.,2
Longstrider,Transmutation,Increase your Speed for an hour.,2
Mending,Transmutation,Repair one non-magical item.,2
Noxious Vapors,Evocation,Form a toxic cloud that poisons and sickens.,2
Pass Without Trace,Abjuration,Make your tracks hard to find.,2
Personal Rain Cloud,Evocation,You conjure a 5-foot-wide rain cloud that follows the target wherever it goes.,2
Pummeling Rubble,Evocation,Hurl a cone of rocks to batter creatures.,2
Putrefy Food and Drink,Necromancy,HS You cause otherwise edible food to rot and spoil instantly-- and water and other liquids to become brackish and undrinkable.,2
Shattering Gem,Abjuration,A large gem floats around the target in an erratic pattern.,2
Shocking Grasp,Evocation,Zap a creature with electricity.,2
Shockwave,Evocation,You create a wave of energy that ripples through the earth.,2
Snowball,Evocation,You throw a magically propelled and chilled ball of dense snow.,2
Summon Animal,Conjuration,Conjure an animal to fight on your behalf.,2
Summon Fey,Conjuration,Conjure a fey to fight on your behalf.,2
Summon Plant or Fungus,Conjuration,Conjure a plant or fungus to fight on your behalf.,2
Tether,Abjuration,You use magical chains-- vines-- or other tethers to bind your target to you.,2
Ventriloquism,Illusion,Throw your voice.,2
Verdant Sprout,Conjuration,You imbue a single ordinary-- inexpensive plant seed with primal energy and throw it onto a surface-- where it gradually sprouts into a Medium plant.,2
Animal Vision,Divination,Project your senses through an animal.,3
Aqueous Orb,Conjuration,Roll a ball of water to put out fires and engulf creatures.,3
Blindness,Necromancy,Strike a target blind.,3
Crashing Wave,Evocation,Smash a cone of water against foes.,3
Cup of Dust,Necromancy,You curse the target with a thirst no drink can quench.,3
Curse of Lost Time,Transmutation,Artificially erode or age a target.,3
Earthbind,Transmutation,Bring a flying creature to the ground.,3
Familiar's Face,Divination,Implant your senses in your animal companion or familiar.,3
Feet to Fins,Transmutation,Turn a creature's feet into fins-- enabling it swim but slowing it on land.,3
Fireball,Evocation,An explosion of fire in an area burns creatures.,3
Glyph of Warding,Abjuration,Store a spell in a symbol to make a trap.,3
Haste,Transmutation,Speed up a creature so it can attack or move more often.,3
Insect Form,Transmutation,Turn into a dangerous giant insect.,3
Lightning Bolt,Evocation,Lightning strikes all creatures in a line.,3
Mad Monkeys,Conjuration,Monkey spirits make mischief.,3
Meld into Stone,Transmutation,Meld into a block of stone.,3
Neutralize Poison,Necromancy,Cure a poison afflicting a creature.,3
Nondetection,Abjuration,Protect a creature or object from detection.,3
Pillar of Water,Evocation,You create a large-- self-contained cylinder of still fresh water,3
Remove Disease,Necromancy,Cure a disease afflicting a creature.,3
Safe Passage,Abjuration,Make an area safe to move through.,3
Searing Light,Evocation,A ray of burning light deals extra damage to undead and counteracts darkness.,3
Shifting Sand,Transmutation,You cause the surface to heave.,3
Show the Way,Divination,You and affected allies gain preternatural knowledge of the path ahead-- allowing you to intuit the best way forward and avoid potential obstacles.,3
Slow,Transmutation,Make a creature slower-- reducing its actions.,3
Stinking Cloud,Conjuration,Form a cloud that sickens creatures.,3
Threefold Aspect,Transmutation,Switch between versions of yourself at different ages.,3
Unseasonable Squall,Evocation,You issue a blast of sudden wind that ripples outward from the center of the burst.,3
Wall of Thorns,Conjuration,Grow a wall of brambles.,3
Wall of Wind,Evocation,Create a wall of gusting winds that hinders movement and ranged attacks.,3
Acidic Burst,Evocation,You create a shell of acid around yourself that immediately bursts outward.,3
Alarm,Abjuration,Be alerted if a creature enters a warded area.,3
Animal Form,Transmutation,Turn into a dangerous animal.,3
Burning Hands,Evocation,A small cone of flame rushes from your hands.,3
Chilling Spray,Evocation,Icy shards fly out from you in a cone.,3
Continual Flame,Evocation,A magical flame burns indefinitely.,3
Darkvision,Divination,See in the dark.,3
Endure Elements,Abjuration,Protect a creature from severe cold or heat.,3
Enhance Victuals,Transmutation,Improve food or drink and remove poisons.,3
Fear,Enchantment,Frighten a creature-- possibly making it flee.,3
Feast of Ashes,Necromancy,You curse the target with a hunger no food can sate.,3
Final Sacrifice,Evocation,Channel energy to blow up your minion.,3
Flaming Sphere,Evocation,A ball of fire rolls about at your command.,3
Heal,Necromancy,Positive energy heals the living or harms the undead-- either a single creature or all in a burst.,3
Heat Metal,Evocation,Make metal red hot.,3
Humanoid Form,Transmutation,Take the shape of a humanoid.,3
Hydraulic Push,Evocation,Damage and push a creature with a blast of water.,3
Iron Gut,Transmutation,Your mouth-- esophagus-- and stomach become incredibly elastic and tougher than metal.,3
Jump,Transmutation,Make an impressive leap.,3
Mending,Transmutation,Repair one non-magical item.,3
Noxious Vapors,Evocation,Form a toxic cloud that poisons and sickens.,3
Personal Rain Cloud,Evocation,You conjure a 5-foot-wide rain cloud that follows the target wherever it goes.,3
Pummeling Rubble,Evocation,Hurl a cone of rocks to batter creatures.,3
Putrefy Food and Drink,Necromancy,HS You cause otherwise edible food to rot and spoil instantly-- and water and other liquids to become brackish and undrinkable.,3
Quench,Abjuration,Put out fires and hurt fire creatures.,3
Scouring Sand,Evocation,You blast the area with grit that scours away soil and gets into creatures’ eyes.,3
Shatter,Evocation,Shatter an object with a high-frequency sonic attack.,3
Shattering Gem,Abjuration,A large gem floats around the target in an erratic pattern.,3
Shocking Grasp,Evocation,Zap a creature with electricity.,3
Shockwave,Evocation,You create a wave of energy that ripples through the earth.,3
Snowball,Evocation,You throw a magically propelled and chilled ball of dense snow.,3
Sudden Blight,Necromancy,Decay living creatures and plants.,3
Sudden Bolt,Evocation,You call down a small bolt of lightning on the target,3
Summon Animal,Conjuration,Conjure an animal to fight on your behalf.,3
Summon Elemental,Conjuration,Conjure an elemental to fight on your behalf.,3
Summon Fey,Conjuration,Conjure a fey to fight on your behalf.,3
Summon Plant or Fungus,Conjuration,Conjure a plant or fungus to fight on your behalf.,3
Tether,Abjuration,You use magical chains-- vines-- or other tethers to bind your target to you.,3
Verdant Sprout,Conjuration,You imbue a single ordinary-- inexpensive plant seed with primal energy and throw it onto a surface-- where it gradually sprouts into a Medium plant.,3
Vomit Swarm,Evocation,Vermin erupt in a cone from your mouth-- biting and stinging creatures.,3
Water Breathing,Transmutation,Allow creatures to breathe underwater.,3
Aerial Form,Transmutation,Turn into a flying combatant.,4
Air Walk,Transmutation,Walk on air as though it were solid ground.,4
Bestial Curse,Transmutation,Make a humanoid take on features of a beast.,4
Countless Eyes,Divination,Cause magical eyes to appear all over a creature's body.,4
Creation,Conjuration,Make a temporary object.,4
Dinosaur Form,Transmutation,Turn into a dinosaur.,4
Fire Shield,Evocation,Flames protect you from cold and harm those that touch you.,4
Fly,Transmutation,Cause the target creature to gain a fly Speed.,4
Freedom of Movement,Abjuration,A creature overcomes hindrances to its movement.,4
Gaseous Form,Transmutation,Turn a willing creature into a flying cloud.,4
Hallucinatory Terrain,Illusion,A natural environment appears to be another kind of terrain.,4
Hydraulic Torrent,Evocation,Force creatures back with a damaging line of water.,4
Ice Storm,Evocation,Call a storm cloud that pelts creatures with hail.,4
Reflective Scales,Abjuration,You grow a set of colored glowing scales or scaled armor that stores energy before releasing it in a final burst.,4
Rusting Grasp,Transmutation,Rapidly rust metal.,4
Shape Stone,Transmutation,Reshape a cube of stone.,4
Solid Fog,Conjuration,Conjure heavy fog that obscures sight and is hard to move through.,4
Speak with Plants,Divination,Communicate with plants and plant creatures.,4
Spike Stones,Conjuration,Grow sharp spikes out of the ground.,4
Stoneskin,Abjuration,Harden a creature's skin into durable stone.,4
Vital Beacon,Necromancy,Radiate vitality that heals creatures that touch you.,4
Wall of Fire,Evocation,Create a blazing wall burns creatures that pass through.,4
Weapon Storm,Evocation,Multiply a weapon you hold and attack many creatures with it.,4
Acid Arrow,Evocation,Magical arrow deals acid damage persistently.,4
Acidic Burst,Evocation,You create a shell of acid around yourself that immediately bursts outward.,4
Animal Form,Transmutation,Turn into a dangerous animal.,4
Barkskin,Abjuration,Target's skin is covered in protective bark.,4
Breath of Drought,Evocation,You fill the area with an oppressive-- arid swelter that overwhelms creatures with heat exhaustion.,4
Burning Hands,Evocation,A small cone of flame rushes from your hands.,4
Charm,Enchantment,A humanoid becomes more friendly to you.,4
Chilling Spray,Evocation,Icy shards fly out from you in a cone.,4
Continual Flame,Evocation,A magical flame burns indefinitely.,4
Crashing Wave,Evocation,Smash a cone of water against foes.,4
Create Food,Conjuration,Conjure food that can feed multiple creatures.,4
Curse of Lost Time,Transmutation,Artificially erode or age a target.,4
Darkness,Evocation,Suppress all light in an area.,4
Dismantle,Transmutation,Temporarily disassemble an object into its components.,4
Enhance Victuals,Transmutation,Improve food or drink and remove poisons.,4
Enlarge,Transmutation,A creature grows in size.,4
Expeditious Excavation,Transmutation,You remove loose dirt-- dust-- gravel-- sand-- and the like from the area.,4
Feast of Ashes,Necromancy,You curse the target with a hunger no food can sate.,4
Final Sacrifice,Evocation,Channel energy to blow up your minion.,4
Fireball,Evocation,An explosion of fire in an area burns creatures.,4
Flaming Sphere,Evocation,A ball of fire rolls about at your command.,4
Fungal Hyphae,Necromancy,Thin hyphae grow from your feet and plunge into the earth.,4
Fungal Infestation,Conjuration,Plant poisonous fungal growths in a creature.,4
Heal,Necromancy,Positive energy heals the living or harms the undead-- either a single creature or all in a burst.,4
Heat Metal,Evocation,Make metal red hot.,4
Hydraulic Push,Evocation,Damage and push a creature with a blast of water.,4
Insect Form,Transmutation,Turn into a dangerous giant insect.,4
Lightning Bolt,Evocation,Lightning strikes all creatures in a line.,4
Noxious Vapors,Evocation,Form a toxic cloud that poisons and sickens.,4
Pass Without Trace,Abjuration,Make your tracks hard to find.,4
Personal Rain Cloud,Evocation,You conjure a 5-foot-wide rain cloud that follows the target wherever it goes.,4
Pest Form,Transmutation,Turn into a nonthreatening animal.,4
Phantom Steed,Conjuration,Conjure a magical horse.,4
Pummeling Rubble,Evocation,Hurl a cone of rocks to batter creatures.,4
Quench,Abjuration,Put out fires and hurt fire creatures.,4
Resist Energy,Abjuration,Protect a creature from one type of energy damage.,4
Restoration,Necromancy,Reduce a condition or lessen a toxin.,4
Searing Light,Evocation,A ray of burning light deals extra damage to undead and counteracts darkness.,4
Shatter,Evocation,Shatter an object with a high-frequency sonic attack.,4
Shattering Gem,Abjuration,A large gem floats around the target in an erratic pattern.,4
Shocking Grasp,Evocation,Zap a creature with electricity.,4
Shockwave,Evocation,You create a wave of energy that ripples through the earth.,4
Snowball,Evocation,You throw a magically propelled and chilled ball of dense snow.,4
Status,Divination,Keep track of a willing creature's location and well-being.,4
Sudden Blight,Necromancy,Decay living creatures and plants.,4
Sudden Bolt,Evocation,You call down a small bolt of lightning on the target,4
Summon Animal,Conjuration,Conjure an animal to fight on your behalf.,4
Summon Elemental,Conjuration,Conjure an elemental to fight on your behalf.,4
Summon Fey,Conjuration,Conjure a fey to fight on your behalf.,4
Summon Plant or Fungus,Conjuration,Conjure a plant or fungus to fight on your behalf.,4
Tether,Abjuration,You use magical chains-- vines-- or other tethers to bind your target to you.,4
Verdant Sprout,Conjuration,You imbue a single ordinary-- inexpensive plant seed with primal energy and throw it onto a surface-- where it gradually sprouts into a Medium plant.,4
Vomit Swarm,Evocation,Vermin erupt in a cone from your mouth-- biting and stinging creatures.,4
Wall of Thorns,Conjuration,Grow a wall of brambles.,4
Water Breathing,Transmutation,Allow creatures to breathe underwater.,4
Water Walk,Transmutation,Buoy a creature so it can walk on water.,4
Web,Conjuration,Form a web that keeps creatures from moving.,4
